name,author,category,rank,read,link
The New Media Reader,Noah Wardrip-Fruin,programming,5,,http://www.amazon.com/New-Media-Reader-Noah-Wardrip-Fruin/dp/0262232278/?tag=fogus-20
The Soul of a New Machine,Tracy Kidder,programming,3,,http://www.amazon.com/Soul-New-Machine-Tracy-Kidder/dp/0316491977/?tag=fogus-20
"Bootstrapping: Douglas Engelbart, Coevolution, and the Origins of Personal Computing",Thierry Bardini,programming,3,,http://www.amazon.com/Bootstrapping-Engelbart-Coevolution-Personal-Computing/dp/0804738718/?tag=fogus-20
Masters of Doom,David Kushner,programming,2,,http://www.amazon.com/Masters-Doom-Created-Transformed-Culture/dp/0812972155/?tag=fogus-20
Steve Jobs & the Next Big Thing,Randall Stross,programming,3,,http://www.amazon.com/Steve-Jobs-Next-Big-Thing/dp/0689121350/?tag=fogus-20
Revolution in the Valley,Andy Hertzfeld,programming,3,,http://www.amazon.com/Revolution-Valley-Insanely-Great-Story/dp/1449316247/?tag=fogus-20
iWoz,Steve Wozniak,programming,3,,http://www.amazon.com/iWoz-Computer-Invented-Personal-Co-Founded/dp/0393330435/?tag=fogus-20
Engines of Creation,Eric Drexler,programming,3,,http://www.amazon.com/Engines-Creation-Nanotechnology-Library-Science/dp/0385199732/?tag=fogus-20
Who Owns the Future,Jaron Lanier,programming,4,,http://www.amazon.com/Who-Owns-Future-Jaron-Lanier/dp/1451654979/?tag=fogus-20
Hackers and Painters,Paul Graham,programming,4,,http://www.amazon.com/Hackers-Painters-Big-Ideas-Computer/dp/1449389554/?tag=fogus-20
Points of View: A tribute to Alan Kay,misc,programming,5,,http://vpri.org/pov/
Smalltalk-80: The Language and its Implementation,Adele Goldberg,technical,4,,http://www.amazon.com/Smalltalk-80-Language-Implementation-Adele-Goldberg/dp/0201113716/?tag=fogus-20
Thinking Forth,Leo Brodie,technical,4,,http://www.amazon.com/Thinking-Forth-Leo-Brodie/dp/0976458705/?tag=fogus-20
"Concepts, Techniques, and Models of Computer Programming",Peter Van Roy,technical,4,,http://www.amazon.com/Concepts-Techniques-Models-Computer-Programming/dp/0262220695/?tag-fogus-20
SICP,Abelson & Sussman,technical,5,,http://www.amazon.com/Structure-Interpretation-Computer-Programs-Engineering/dp/0262510871/?tag=fogus-20
